cpu_usage,memory_usage,response_time,error_rate,request_rate,label
80,43,333,0.062,175,1
67,59,505,0.089,499,1
38,97,381,0.021,170,1
23,47,428,0.083,279,1
54,91,128,0.169,223,1
83,66,153,0.018,480,1
68,54,340,0.051,392,0
36,77,435,0.095,294,1
63,94,339,0.246,327,1
49,82,374,0.196,530,1
65,44,392,0.183,535,1
25,78,261,0.029,560,0
56,97,443,0.195,120,1
43,41,267,0.196,163,1
65,88,487,0.15,264,1
72,66,493,0.248,126,1
79,90,421,0.081,410,1
82,72,299,0.235,384,1
51,99,242,0.229,380,1
52,68,299,0.003,263,0
86,85,349,0.113,323,1
37,92,479,0.244,245,1
44,75,261,0.026,129,0
73,40,284,0.137,144,1
77,91,307,0.245,570,1
86,54,329,0.139,133,1
65,81,520,0.047,526,1
43,33,275,0.146,320,1
51,88,598,0.051,633,1
66,49,149,0.13,466,1
42,92,478,0.019,649,1
85,83,282,0.151,681,1
46,86,227,0.129,215,1
21,70,551,0.185,338,1
36,32,278,0.158,434,1
52,35,505,0.137,540,1
28,34,571,0.172,247,1
62,34,221,0.036,108,0
67,83,392,0.149,387,1
58,76,244,0.043,487,0
61,78,393,0.231,149,1
45,38,100,0.017,616,0
69,49,161,0.108,686,1
44,90,210,0.174,377,1
43,64,384,0.115,399,1
32,79,450,0.023,688,1
79,91,463,0.138,234,1
26,46,524,0.16,679,1
76,32,504,0.176,246,1
55,61,240,0.093,589,0
64,42,257,0.141,577,1
39,97,569,0.113,258,1
84,43,406,0.168,483,1
27,40,368,0.146,262,1
35,85,433,0.131,540,1
33,96,107,0.062,288,1
95,58,122,0.001,514,1
34,38,502,0.044,438,1
85,96,256,0.029,280,1
51,54,573,0.112,387,1
82,71,277,0.153,286,1
70,38,596,0.053,237,1
44,69,593,0.235,229,1
77,54,101,0.002,293,1
82,34,191,0.193,415,1
81,40,136,0.156,243,1
41,88,145,0.093,115,1
77,67,177,0.013,401,1
77,34,223,0.157,522,1
68,77,514,0.096,344,1
71,47,165,0.234,206,1
61,99,423,0.135,187,1
89,66,373,0.235,228,1
34,89,322,0.055,440,1
73,77,111,0.181,103,1
79,57,470,0.154,426,1
27,98,356,0.185,509,1
72,69,233,0.054,405,0
79,74,462,0.166,324,1
24,91,147,0.125,447,1
87,87,293,0.186,420,1
25,96,455,0.082,658,1
66,85,292,0.223,280,1
74,69,158,0.021,485,0
59,69,460,0.202,207,1
71,62,137,0.215,630,1
35,35,105,0.204,509,1
32,48,526,0.128,395,1
49,69,145,0.11,270,1
38,88,333,0.249,430,1
36,88,123,0.057,592,1
82,77,176,0.137,294,1
38,70,306,0.168,111,1
77,42,515,0.175,294,1
74,74,458,0.051,589,1
81,82,257,0.163,281,1
42,71,506,0.205,415,1
28,92,386,0.013,129,1
31,56,583,0.228,695,1
20,67,347,0.007,195,0
77,89,87,0.089,480,1
20,36,587,0.004,543,1
53,34,555,0.019,397,1
67,74,376,0.228,460,1
20,87,243,0.089,473,1
35,60,564,0.106,653,1
80,52,151,0.054,402,1
83,71,317,0.149,520,1
82,39,183,0.149,345,1
88,61,289,0.093,336,1
41,82,547,0.083,633,1
86,59,533,0.221,284,1
95,68,347,0.096,567,1
45,60,465,0.123,462,1
35,31,466,0.071,382,1
70,41,338,0.197,652,1
76,68,362,0.099,435,1
48,95,119,0.128,261,1
97,42,565,0.063,259,1
88,75,299,0.247,573,1
66,56,208,0.073,421,0
81,46,599,0.193,111,1
88,89,339,0.107,523,1
95,93,445,0.052,172,1
35,64,95,0.2,687,1
67,99,208,0.083,300,1
58,59,188,0.216,621,1
52,92,348,0.229,604,1
42,57,241,0.215,138,1
29,89,339,0.009,159,1
88,66,181,0.197,677,1
53,51,585,0.103,420,1
71,97,326,0.218,534,1
29,49,210,0.159,507,1
38,97,432,0.208,485,1
77,93,275,0.125,668,1
20,46,461,0.134,177,1
88,41,306,0.036,293,1
23,51,555,0.196,384,1
35,46,556,0.105,626,1
43,39,344,0.125,623,1
99,94,451,0.196,255,1
21,51,565,0.15,439,1
51,79,513,0.05,224,1
43,43,290,0.148,379,1
31,93,456,0.102,227,1
69,76,474,0.117,413,1
54,58,529,0.007,431,1
52,65,443,0.053,249,1
52,81,536,0.07,553,1
80,36,305,0.178,135,1
70,58,210,0.003,519,0
62,40,555,0.102,121,1
31,62,356,0.231,305,1
86,35,235,0.028,455,1
84,61,297,0.129,539,1
52,80,269,0.197,195,1
59,87,496,0.236,263,1
93,55,120,0.187,247,1
62,75,386,0.18,629,1
63,58,417,0.207,393,1
48,33,393,0.112,294,1
32,42,154,0.201,579,1
31,68,358,0.002,222,1
65,44,255,0.231,499,1
21,58,352,0.111,551,1
54,58,368,0.138,203,1
27,61,351,0.064,561,1
45,31,145,0.186,495,1
93,76,562,0.019,436,1
53,51,327,0.218,698,1
26,56,235,0.207,241,1
87,96,126,0.054,416,1
77,85,533,0.202,657,1
94,50,280,0.197,626,1
48,76,203,0.158,655,1
55,88,80,0.093,500,1
40,35,270,0.068,409,0
55,48,595,0.058,594,1
29,86,521,0.08,655,1
92,98,222,0.226,208,1
43,32,270,0.019,471,0
83,30,306,0.207,305,1
68,87,392,0.087,142,1
55,67,381,0.13,344,1
43,44,539,0.199,386,1
42,63,480,0.221,454,1
81,90,472,0.086,575,1
56,64,286,0.115,182,1
31,93,289,0.104,209,1
74,54,194,0.003,289,0
32,53,330,0.074,350,0
42,41,298,0.115,390,1
49,47,486,0.103,300,1
36,44,522,0.18,425,1
81,56,433,0.096,610,1
32,89,221,0.122,508,1
78,75,580,0.107,607,1
38,46,586,0.185,171,1
68,82,360,0.216,346,1
31,37,503,0.133,686,1
80,56,349,0.197,665,1
38,75,233,0.074,443,0
95,79,162,0.135,153,1
28,32,505,0.086,627,1
90,93,354,0.104,631,1
47,73,363,0.183,657,1
97,82,252,0.22,292,1
71,53,406,0.03,157,1
35,89,142,0.159,536,1
88,32,152,0.146,210,1
31,49,454,0.03,228,1
44,75,587,0.053,425,1
71,44,477,0.078,107,1
72,54,199,0.042,128,0
42,46,516,0.061,211,1
35,38,544,0.067,230,1
76,67,365,0.084,287,1
58,77,344,0.187,574,1
72,89,399,0.143,463,1
61,92,455,0.247,303,1
77,31,168,0.104,311,1
58,40,282,0.188,375,1
33,93,413,0.218,172,1
24,50,301,0.17,342,1
54,47,120,0.103,201,1
94,93,147,0.188,270,1
37,67,593,0.051,287,1
95,61,206,0.082,540,1
28,40,334,0.137,185,1
93,74,95,0.144,575,1
77,62,556,0.006,151,1
36,70,141,0.236,210,1
26,37,511,0.174,142,1
65,40,347,0.124,310,1
32,80,114,0.233,299,1
59,70,573,0.11,125,1
61,46,548,0.245,398,1
28,75,404,0.128,176,1
69,61,383,0.029,236,1
46,83,355,0.191,119,1
85,49,280,0.17,539,1
24,62,524,0.193,310,1
48,69,403,0.238,650,1
56,61,114,0.194,534,1
57,31,561,0.153,306,1
27,62,559,0.214,538,1
84,59,144,0.168,141,1
36,62,87,0.102,510,1
90,55,380,0.221,622,1
64,51,422,0.055,526,1
23,95,510,0.179,374,1
55,67,503,0.22,547,1
89,75,411,0.183,468,1
50,44,517,0.174,319,1
38,73,253,0.188,676,1
80,78,105,0.116,331,1
73,90,485,0.219,427,1
58,96,311,0.051,542,1
93,35,584,0.032,151,1
38,38,258,0.071,475,0
58,35,211,0.133,362,1
86,61,534,0.128,366,1
64,70,427,0.205,458,1
32,37,485,0.101,416,1
77,79,155,0.121,423,1
39,91,571,0.003,662,1
91,91,273,0.102,520,1
80,36,241,0.162,145,1
58,33,426,0.004,699,1
20,35,440,0.07,368,1
22,87,166,0.052,480,1
96,51,341,0.01,217,1
81,55,293,0.12,665,1
82,32,341,0.045,215,1
44,70,362,0.186,359,1
75,89,546,0.212,174,1
52,43,459,0.136,579,1
57,41,441,0.245,404,1
25,41,528,0.113,106,1
77,42,520,0.128,465,1
63,54,172,0.247,622,1
64,74,503,0.058,447,1
51,48,221,0.236,537,1
64,84,370,0.011,314,1
80,74,511,0.112,528,1
66,37,128,0.018,597,0
40,82,381,0.182,639,1
99,84,269,0.152,466,1
94,61,215,0.177,412,1
55,80,483,0.094,637,1
38,73,420,0.092,153,1
39,99,397,0.011,640,1
76,47,442,0.087,566,1
37,51,461,0.232,263,1
66,66,312,0.095,433,0
68,85,423,0.208,646,1
33,88,262,0.211,447,1
34,32,120,0.093,372,0
50,57,476,0.158,513,1
20,64,573,0.024,599,1
73,90,412,0.026,192,1
22,83,206,0.012,178,1
35,92,80,0.145,316,1
76,36,247,0.107,457,1
94,78,98,0.137,606,1
31,60,411,0.13,658,1
93,87,535,0.088,280,1
35,90,188,0.169,675,1
91,53,347,0.19,345,1
95,49,524,0.004,343,1
43,66,319,0.052,605,0
47,33,380,0.178,521,1
27,49,182,0.097,419,0
55,89,329,0.166,186,1
27,53,532,0.087,316,1
77,79,599,0.098,589,1
79,78,232,0.04,618,1
69,80,253,0.065,377,0
47,65,422,0.151,268,1
60,95,510,0.108,429,1
83,63,403,0.194,540,1
46,65,499,0.213,490,1
82,35,564,0.135,595,1
36,68,491,0.19,480,1
92,71,163,0.077,405,1
52,87,192,0.104,612,1
96,41,411,0.178,287,1
48,32,457,0.097,615,1
32,47,120,0.147,526,1
65,69,184,0.046,601,0
54,50,281,0.15,359,1
25,44,529,0.215,612,1
88,55,345,0.217,170,1
66,37,289,0.181,577,1
44,71,197,0.186,277,1
85,73,456,0.139,556,1
29,43,163,0.146,288,1
75,31,533,0.033,390,1
49,66,593,0.111,619,1
24,98,466,0.113,391,1
52,67,429,0.24,382,1
84,70,375,0.108,643,1
37,91,337,0.137,476,1
68,89,160,0.133,255,1
30,43,347,0.159,607,1
45,31,498,0.187,512,1
82,99,314,0.056,627,1
78,46,390,0.132,454,1
46,57,436,0.206,658,1
68,95,292,0.116,286,1
96,64,128,0.07,130,1
52,34,206,0.164,359,1
20,94,302,0.206,520,1
40,69,358,0.016,628,1
74,85,487,0.194,650,1
25,65,584,0.205,403,1
88,74,373,0.115,138,1
24,52,356,0.246,588,1
22,76,517,0.197,641,1
72,60,186,0.193,377,1
42,40,499,0.187,302,1
72,39,508,0.038,165,1
56,96,454,0.054,207,1
93,43,152,0.116,367,1
93,39,109,0.066,321,1
36,30,267,0.104,629,1
97,34,443,0.222,189,1
92,49,530,0.206,354,1
20,37,274,0.158,554,1
70,72,235,0.215,352,1
64,30,251,0.196,356,1
96,86,120,0.107,482,1
23,93,142,0.05,541,1
81,57,102,0.129,698,1
84,66,439,0.184,189,1
51,76,154,0.109,489,1
53,66,197,0.167,681,1
91,78,459,0.024,143,1
58,73,369,0.187,697,1
45,85,519,0.203,118,1
53,57,86,0.177,200,1
73,35,275,0.242,456,1
22,90,500,0.207,641,1
69,49,272,0.226,132,1
31,31,227,0.233,328,1
84,66,281,0.2,623,1
73,49,523,0.169,254,1
24,55,498,0.001,522,1
76,58,506,0.116,345,1
36,30,558,0.143,504,1
66,64,554,0.076,640,1
42,99,205,0.08,260,1
98,88,474,0.24,216,1
33,98,404,0.223,370,1
85,62,471,0.212,586,1
94,80,519,0.102,271,1
70,41,283,0.003,373,0
57,49,565,0.02,358,1
83,82,110,0.078,234,1
57,72,467,0.004,521,1
69,79,513,0.004,520,1
49,58,455,0.229,285,1
98,86,423,0.177,463,1
70,68,522,0.077,477,1
82,85,154,0.033,622,1
71,72,234,0.128,679,1
57,79,509,0.001,295,1
98,52,442,0.235,197,1
49,73,527,0.104,121,1
70,67,313,0.101,549,1
24,52,341,0.098,271,0
48,74,204,0.017,482,0
23,81,324,0.16,233,1
29,79,564,0.183,525,1
75,37,201,0.169,124,1
36,30,204,0.035,602,0
93,37,249,0.145,284,1
36,58,203,0.142,184,1
88,34,114,0.217,666,1
53,76,166,0.095,243,0
25,63,280,0.093,511,0
72,94,448,0.155,323,1
85,84,156,0.158,319,1
96,72,138,0.117,278,1
62,59,510,0.111,532,1
94,46,579,0.124,364,1
42,55,188,0.215,528,1
74,37,357,0.115,515,1
99,76,147,0.235,552,1
94,75,148,0.126,296,1
35,97,244,0.237,653,1
27,62,568,0.208,152,1
23,30,384,0.091,579,1
23,48,444,0.216,542,1
75,60,458,0.028,429,1
44,43,422,0.231,350,1
86,82,433,0.158,222,1
86,77,495,0.014,486,1
46,98,188,0.161,438,1
51,91,576,0.244,447,1
69,95,420,0.017,128,1
80,93,462,0.139,134,1
70,99,379,0.187,617,1
38,92,218,0.203,495,1
40,62,438,0.103,393,1
24,70,578,0.051,688,1
61,77,464,0.011,448,1
80,42,359,0.145,246,1
41,60,562,0.113,166,1
40,97,190,0.237,619,1
89,33,218,0.015,221,1
20,48,514,0.171,439,1
24,99,588,0.006,274,1
31,42,352,0.043,696,1
65,52,178,0.113,550,1
53,30,183,0.114,656,1
68,83,293,0.171,235,1
97,44,244,0.228,115,1
64,94,599,0.16,432,1
46,44,363,0.238,294,1
92,50,596,0.22,595,1
45,48,243,0.146,108,1
66,89,143,0.208,433,1
75,62,170,0.161,432,1
82,78,196,0.02,426,1
67,64,346,0.185,114,1
80,73,219,0.024,325,1
45,40,325,0.149,524,1
55,95,474,0.176,507,1
20,75,566,0.017,212,1
27,38,555,0.058,527,1
71,32,596,0.229,100,1
98,55,263,0.154,365,1
66,77,99,0.062,590,0
75,95,226,0.173,307,1
33,99,383,0.149,468,1
47,57,307,0.125,405,1
97,55,181,0.244,111,1
21,54,496,0.171,444,1
45,41,295,0.094,564,0
33,34,486,0.2,593,1
78,77,478,0.221,467,1
75,66,578,0.031,519,1
26,73,544,0.05,270,1
22,44,161,0.054,233,0
42,72,444,0.173,526,1
37,77,242,0.151,124,1
57,99,127,0.155,629,1
34,75,590,0.235,289,1
83,72,408,0.194,240,1
47,50,195,0.032,654,0
93,52,416,0.087,414,1
58,76,226,0.109,543,1
76,44,402,0.099,418,1
36,54,522,0.167,540,1
63,65,92,0.223,191,1
44,80,573,0.077,278,1
36,44,366,0.138,155,1
32,97,193,0.197,254,1
44,50,559,0.104,210,1
87,42,101,0.042,236,1
29,48,428,0.119,331,1
86,63,399,0.014,567,1
37,97,205,0.236,580,1
53,81,356,0.019,167,1
27,56,283,0.11,348,1
59,58,273,0.132,422,1
61,57,365,0.246,617,1
60,64,136,0.042,531,0
25,37,382,0.029,586,1
71,45,242,0.002,528,0
45,65,98,0.039,368,0
83,59,449,0.052,636,1
78,47,343,0.158,247,1
75,31,192,0.055,217,0
78,78,567,0.005,466,1
89,33,406,0.207,165,1
52,36,144,0.091,469,0
72,68,371,0.088,274,1
41,42,104,0.076,687,0
40,60,80,0.244,594,1
89,92,220,0.043,213,1
89,85,267,0.225,210,1
23,71,207,0.194,538,1
94,90,280,0.019,246,1
81,71,206,0.247,134,1
81,85,336,0.068,408,1
43,65,273,0.025,637,0
74,97,183,0.207,113,1
28,36,344,0.177,473,1
22,83,463,0.154,656,1
50,30,339,0.039,527,0
59,73,493,0.12,332,1
55,74,437,0.195,662,1
43,76,154,0.076,539,0
25,42,434,0.078,601,1
85,51,267,0.001,374,1
94,50,369,0.044,175,1
23,38,124,0.219,538,1
98,55,162,0.11,388,1
25,38,202,0.246,639,1
70,44,437,0.099,352,1
81,39,145,0.179,225,1
76,71,454,0.07,276,1
85,53,241,0.091,136,1
98,78,459,0.048,509,1
94,55,437,0.087,226,1
27,66,267,0.137,582,1
45,97,401,0.248,267,1
70,79,529,0.166,691,1
64,53,553,0.05,393,1
63,48,92,0.011,442,0
24,89,263,0.032,409,1
89,68,190,0.141,627,1
45,47,587,0.191,639,1
87,48,369,0.235,518,1
38,65,374,0.004,543,1
39,84,530,0.131,657,1
31,98,294,0.118,335,1
66,76,106,0.164,538,1
20,78,310,0.14,313,1
33,62,400,0.172,184,1
83,50,312,0.165,184,1
57,51,516,0.029,588,1
56,77,482,0.2,164,1
30,66,132,0.031,163,0
96,44,392,0.175,442,1
22,64,360,0.104,451,1
52,61,110,0.128,257,1
25,40,416,0.226,688,1
69,39,262,0.222,590,1
29,86,102,0.204,562,1
24,54,525,0.128,324,1
42,31,153,0.184,412,1
29,93,89,0.128,565,1
63,64,563,0.217,187,1
21,36,535,0.101,402,1
32,47,239,0.243,534,1
59,96,93,0.233,234,1
21,71,257,0.185,149,1
84,68,491,0.07,531,1
82,70,132,0.033,439,1
92,53,487,0.214,446,1
36,89,101,0.041,446,1
28,75,109,0.214,344,1
94,48,339,0.123,208,1
34,97,284,0.102,632,1
43,71,138,0.226,189,1
57,61,550,0.151,395,1
54,68,545,0.144,211,1
68,65,91,0.14,688,1
88,65,369,0.093,276,1
81,32,433,0.196,442,1
79,37,154,0.063,200,1
69,99,520,0.235,500,1
97,70,320,0.223,127,1
94,97,233,0.084,636,1
28,42,175,0.182,157,1
53,78,373,0.143,597,1
95,89,288,0.084,396,1
54,31,422,0.247,233,1
20,89,167,0.006,430,1
59,34,469,0.063,348,1
83,73,404,0.13,649,1
41,56,236,0.13,174,1
79,61,216,0.147,267,1
83,50,507,0.188,602,1
91,37,531,0.156,454,1
30,79,220,0.15,324,1
33,96,162,0.013,630,1
79,73,256,0.094,245,1
49,87,277,0.058,340,1
54,32,500,0.066,443,1
56,99,480,0.139,134,1
24,31,550,0.05,100,1
97,73,297,0.073,252,1
45,31,254,0.059,528,0
81,64,102,0.237,607,1
23,59,314,0.236,225,1
61,37,92,0.152,590,1
37,51,180,0.231,581,1
59,73,531,0.196,444,1
91,87,510,0.147,320,1
58,65,372,0.002,124,1
33,98,180,0.193,627,1
51,60,581,0.176,281,1
70,76,383,0.154,598,1
57,84,434,0.19,141,1
42,91,382,0.128,580,1
82,59,575,0.176,538,1
34,84,306,0.234,501,1
44,45,315,0.094,645,0
36,41,534,0.177,444,1
85,46,92,0.119,144,1
97,45,289,0.169,120,1
72,41,476,0.191,169,1
70,37,179,0.011,147,0
58,32,110,0.162,590,1
70,45,408,0.057,650,1
89,59,245,0.168,386,1
25,52,538,0.117,109,1
86,34,179,0.193,641,1
26,94,252,0.031,373,1
70,59,241,0.157,699,1
91,50,342,0.07,480,1
61,99,353,0.213,428,1
83,51,82,0.232,578,1
34,61,107,0.249,114,1
48,62,405,0.199,615,1
52,45,228,0.188,290,1
46,67,567,0.054,267,1
55,43,517,0.084,620,1
48,65,144,0.116,236,1
57,52,435,0.193,253,1
76,95,331,0.229,487,1
46,31,314,0.047,308,0
74,94,306,0.231,371,1
52,96,392,0.174,242,1
87,81,128,0.153,168,1
85,91,197,0.05,346,1
29,52,133,0.014,360,0
24,55,123,0.142,178,1
93,97,132,0.163,624,1
57,84,181,0.053,429,1
32,35,477,0.139,288,1
50,64,217,0.214,194,1
66,51,466,0.209,107,1
71,72,190,0.232,166,1
75,44,96,0.091,595,0
34,89,261,0.08,290,1
48,41,250,0.187,465,1
27,78,488,0.108,620,1
24,71,457,0.022,216,1
48,67,267,0.071,366,0
66,74,309,0.105,584,1
87,64,198,0.073,608,1
95,59,235,0.083,397,1
64,59,544,0.073,263,1
21,35,183,0.01,475,0
46,96,581,0.159,367,1
55,36,254,0.149,648,1
55,81,500,0.163,173,1
45,43,213,0.048,607,0
62,44,470,0.074,172,1
46,50,580,0.155,407,1
88,64,112,0.15,298,1
39,95,134,0.127,229,1
30,31,598,0.088,671,1
93,64,91,0.228,586,1
57,49,452,0.085,250,1
25,39,563,0.114,305,1
91,54,307,0.17,278,1
42,95,386,0.136,296,1
66,54,536,0.087,188,1
65,83,239,0.109,533,1
31,62,410,0.199,282,1
32,65,304,0.07,308,0
81,43,583,0.036,592,1
79,94,535,0.078,229,1
62,83,124,0.212,112,1
95,81,293,0.022,205,1
87,32,138,0.248,474,1
24,70,274,0.135,681,1
56,35,568,0.246,198,1
91,54,236,0.235,693,1
50,42,305,0.113,686,1
28,37,491,0.05,291,1
70,50,284,0.041,424,0
48,97,158,0.06,566,1
97,54,203,0.178,466,1
